customer_id,trans_date,tran_amount
CS5400,23/12/2011,56
CS5463,27/8/2014,91
CS5951,7/8/2014,104
CS5515,19/2/2012,41
CS3039,1/5/2012,92
CS1836,24/3/2012,63
CS4320,9/4/2014,52
CS4889,1/12/2011,38
CS1319,26/9/2011,95
CS4859,7/1/2015,50
CS4148,8/2/2014,40
CS5264,3/4/2013,81
CS4041,29/12/2014,49
CS2183,4/1/2013,39
CS2516,15/2/2015,55
CS1890,3/11/2012,37
CS3730,11/2/2013,89
CS5382,7/3/2013,48
CS5970,13/6/2014,40
CS5260,30/1/2015,46
CS2437,13/11/2011,90
CS4675,11/9/2011,67
CS2920,11/10/2011,87
CS2548,28/9/2013,73
CS1818,26/12/2011,46
CS6098,28/9/2012,42
CS2712,26/12/2011,65
CS2714,14/12/2011,69
CS2615,17/8/2013,39
CS5445,27/7/2014,72
CS5812,2/11/2014,62
CS4636,22/9/2013,66
CS3147,4/6/2014,84
CS1273,1/2/2012,91
CS4243,11/11/2011,48
CS2357,13/4/2012,71
CS1776,3/5/2014,79
CS5643,2/3/2013,104
CS4522,6/3/2015,82
CS2418,1/2/2015,51
CS1330,21/11/2014,41
CS1195,29/12/2014,83
CS4306,7/3/2015,54
CS2137,29/9/2013,73
CS3518,19/6/2013,54
CS5835,18/9/2011,52
CS4701,15/1/2015,95
CS4548,28/6/2012,38
CS2384,15/10/2012,35
CS4081,17/2/2013,74
CS5976,2/1/2012,99
CS3874,8/9/2011,44
CS5356,17/6/2014,105
CS4667,17/9/2014,66
CS4328,4/6/2012,56
CS3291,2/8/2013,42
CS4282,11/9/2011,44
CS4331,25/9/2011,70
CS1243,17/3/2013,36
CS2390,20/5/2014,104
CS2207,5/4/2014,71
CS1270,18/11/2011,104
CS1219,11/11/2014,91
CS5427,13/11/2012,96
CS5474,18/5/2011,69
CS5109,23/5/2012,92
CS5287,14/3/2015,94
CS3477,5/5/2013,80
CS3970,13/12/2011,86
CS5760,8/12/2011,59
CS2149,4/4/2013,83
CS4934,19/7/2014,80
CS1517,18/10/2013,89
CS1641,29/12/2012,64
CS2187,19/11/2011,70
CS5359,12/8/2014,96
CS3124,8/12/2011,71
CS1721,30/8/2012,96
CS5212,22/1/2015,42
CS5111,23/8/2011,81
CS3137,4/4/2012,67
CS1511,25/1/2015,69
CS2509,23/2/2014,92
CS5994,11/1/2014,42
CS2613,25/8/2013,103
CS1934,18/8/2014,89
CS3127,2/10/2011,39
CS5225,18/3/2014,104
CS1815,17/11/2012,83
CS3552,27/4/2014,102
CS1893,17/11/2013,42
CS3621,26/10/2013,56
CS4330,17/7/2013,59
CS4991,20/7/2013,90
CS2312,22/10/2013,37
CS2359,4/6/2012,90
CS4798,6/12/2012,84
CS2507,28/6/2012,94
CS1430,2/9/2014,71
CS3787,23/10/2013,48
CS4103,14/4/2013,89
CS2881,24/9/2012,54
CS1854,29/9/2011,74
CS2863,23/12/2012,102
CS5292,4/9/2013,64
CS3184,7/1/2012,88
CS2049,7/10/2013,66
CS2832,16/7/2013,105
CS2251,12/4/2013,99
CS5667,25/2/2014,66
CS1327,19/2/2012,38
CS4927,12/8/2013,37
CS2302,9/9/2012,100
CS3901,11/9/2012,82
CS5762,21/4/2013,85
CS2289,13/3/2012,89
CS2867,9/2/2012,56
CS2359,10/8/2014,87
CS5814,12/12/2011,72
CS5129,21/6/2011,102
CS2597,3/6/2012,42
CS5838,1/9/2012,96
CS5800,23/4/2012,86
CS3786,16/7/2013,66
CS3659,19/5/2012,77
CS4400,3/9/2011,97
CS3026,3/6/2012,55
CS3632,10/2/2013,72
CS1452,23/3/2012,79
CS5140,11/7/2014,97
CS5383,29/12/2013,73
CS4695,17/9/2013,48
CS2368,10/8/2012,66
CS2066,15/7/2011,51
CS5277,12/7/2011,90
CS3025,30/12/2011,72
CS4802,25/6/2011,45
CS6001,16/2/2014,63
CS3981,20/9/2014,74
CS3885,29/4/2014,56
CS5546,28/8/2012,79
CS4964,20/5/2014,79
CS4881,21/1/2014,55
CS4103,2/3/2014,40
CS5884,19/12/2012,97
CS2765,18/4/2013,88
CS4438,5/7/2014,72
CS2234,21/12/2014,36
CS3015,30/1/2014,58
CS3755,1/1/2015,45
CS3927,25/3/2014,77
CS5799,8/11/2012,101
CS5708,3/6/2011,89
CS3695,20/4/2013,51
CS1969,23/10/2014,39
CS3854,9/11/2014,104
CS3416,23/2/2015,57
CS1414,1/12/2013,104
CS4732,27/3/2013,96
CS2493,29/12/2012,85
CS5851,19/1/2013,98
CS1678,9/5/2014,48
CS2049,19/3/2013,36
CS3676,27/9/2011,43
CS4853,27/3/2012,68
CS4292,4/3/2014,98
CS3152,15/12/2014,40
CS5640,13/1/2014,77
CS5857,26/9/2012,85
CS1472,12/4/2014,72
CS3888,22/2/2012,70
CS5563,23/6/2013,70
CS5104,17/9/2012,99
CS6109,1/11/2013,92
CS2352,6/10/2014,62
CS4024,1/2/2014,39
CS1499,24/12/2011,91
CS3071,15/9/2012,39
CS5638,16/12/2014,58
CS5533,16/5/2013,73
CS1961,29/3/2012,75
CS1707,15/9/2011,105
CS3692,17/9/2014,48
CS1275,28/12/2011,102
CS4738,20/3/2013,37
CS3732,12/6/2011,83
CS5676,16/12/2013,44
CS4111,26/7/2012,54
CS2074,5/1/2015,79
CS5815,3/1/2015,92
CS5094,7/3/2015,84
CS5431,5/1/2013,55
CS4540,13/8/2014,55
CS1891,25/3/2013,84
CS4389,22/3/2013,70
CS4412,7/1/2012,47
CS1697,13/7/2014,98
CS2720,11/4/2012,72
CS1152,4/8/2012,71
CS3796,14/9/2013,37
CS6066,23/8/2013,66
CS2643,20/7/2014,69
CS6056,22/3/2014,104
CS3489,9/1/2013,76
CS5229,23/11/2011,58
CS4649,16/12/2014,93
CS4372,27/8/2014,71
CS1790,4/10/2012,100
CS1475,20/8/2012,73
CS2452,5/4/2014,77
CS2781,2/6/2011,51
CS5260,25/9/2014,89
CS5155,25/12/2011,100
CS1582,24/5/2014,46
CS4757,19/8/2011,81
CS6039,5/10/2013,104
CS1580,18/11/2012,87
CS3815,5/7/2011,54
CS6063,13/4/2013,104
CS2226,29/10/2014,104
CS5367,8/1/2015,77
CS4581,4/6/2013,95
CS5004,21/12/2014,59
CS2164,6/8/2013,35
CS4590,31/5/2014,79
CS4600,3/10/2011,50
CS2122,20/2/2012,90
CS3060,24/8/2012,59
CS2217,19/4/2013,85
CS4288,21/4/2014,68
CS1568,10/5/2013,104
CS3442,16/9/2014,39
CS4883,24/12/2013,39
CS4911,17/2/2012,75
CS1533,25/7/2012,86
CS3103,7/5/2014,59
CS2185,29/1/2012,46
CS4094,24/7/2013,100
CS4354,29/12/2012,62
CS1939,25/7/2012,46
CS5516,4/12/2012,75
CS5664,2/11/2013,95
CS5068,7/11/2014,41
CS4376,13/10/2014,49
CS5825,22/10/2011,61
CS1871,16/1/2012,64
CS5046,6/2/2015,86
CS1259,30/6/2013,64
CS5664,11/9/2011,58
CS2986,20/7/2011,67
CS5510,2/9/2013,99
CS2845,10/1/2013,73
CS4077,22/7/2012,90
CS3466,4/11/2013,71
CS1508,25/10/2013,101
CS2469,19/7/2014,93
CS2767,3/1/2015,105
CS5790,17/3/2012,58
CS1710,10/6/2013,100
CS2554,5/10/2011,100
CS5283,5/2/2015,63
CS4050,30/8/2014,63
CS5975,8/9/2012,77
CS4227,16/10/2012,74
CS5983,20/5/2011,47
CS2490,4/12/2013,70
CS1696,25/12/2012,51
CS3209,25/2/2014,82
CS2942,8/1/2013,62
CS4981,16/10/2011,93
CS1397,26/3/2014,77
CS1903,15/4/2013,92
CS3754,30/11/2013,77
CS4763,12/12/2011,78
CS4413,17/1/2015,38
CS2333,13/8/2011,99
CS2798,30/5/2012,100
CS5033,13/12/2011,96
CS1420,9/9/2014,99
CS5132,14/9/2011,74
CS3058,3/9/2012,74
CS3692,22/9/2013,42
CS2463,29/9/2012,55
CS5209,11/11/2011,35
CS4581,16/11/2013,53
CS3424,2/12/2013,85
CS3207,27/6/2013,86
CS5763,23/1/2013,56
CS5772,18/1/2012,97
CS3673,29/4/2013,85
CS2887,2/3/2012,100
CS1596,28/8/2011,66
CS4299,17/6/2012,37
CS1492,6/2/2014,82
CS2313,10/4/2014,40
CS5385,25/4/2014,83
CS3441,3/11/2013,43
CS4701,26/7/2014,53
CS1746,21/6/2013,103
CS3276,27/7/2013,65
CS2555,20/5/2012,50
CS2569,29/4/2014,37
CS3426,1/5/2014,67
CS3052,17/11/2013,67
CS1993,8/8/2013,68
CS4908,27/9/2014,78
CS3021,10/2/2014,43
CS4424,16/5/2013,82
CS4841,23/5/2013,74
CS3486,19/11/2012,75
CS2218,11/10/2011,78
CS4779,29/4/2012,53
CS4226,19/4/2013,100
CS1653,30/8/2011,53
CS2533,30/3/2012,99
CS2905,29/7/2012,47
CS5169,25/1/2013,64
CS5142,25/11/2012,64
CS4390,2/7/2014,43
CS5668,27/2/2014,91
CS2896,14/1/2013,71
CS5156,2/10/2013,58
CS4200,12/8/2012,67
CS4391,7/9/2014,67
CS5408,22/7/2013,78
CS6019,25/10/2013,84
CS3981,25/7/2012,40
CS5925,20/6/2013,66
CS3964,14/11/2013,105
CS4688,20/5/2013,101
CS1343,2/6/2012,57
CS6024,14/10/2012,45
CS2816,18/12/2011,84
CS2434,20/5/2012,41
CS6018,18/5/2012,96
CS2072,7/7/2012,63
CS2897,3/12/2013,83
CS1680,14/10/2013,81
CS1638,5/8/2013,84
CS1165,12/4/2012,101
CS4593,4/1/2012,84
CS3414,13/11/2011,46
CS2252,28/2/2013,58
CS3598,30/7/2013,54
CS3642,19/5/2014,62
CS5948,10/7/2014,71
CS5582,23/5/2014,96
CS6107,23/7/2011,70
CS5201,2/7/2011,79
CS1639,5/5/2013,51
CS5884,20/11/2012,52
CS3515,7/7/2014,81
CS2332,29/8/2013,66
CS5628,16/12/2014,94
CS4830,13/4/2012,78
CS1673,4/1/2012,92
CS4993,1/6/2011,86
CS2603,1/7/2013,58
CS1800,20/11/2013,72
CS3911,9/6/2012,83
CS5465,5/12/2011,77
CS2373,29/3/2012,105
CS1241,6/3/2013,104
CS4244,15/2/2013,48
CS5233,5/6/2013,73
CS5405,4/12/2013,87
CS4115,30/11/2011,73
CS4283,23/12/2011,76
CS4420,28/5/2014,93
CS4779,8/5/2013,41
CS2567,15/7/2011,93
CS3629,30/9/2014,68
CS2026,25/8/2013,66
CS4338,5/7/2013,58
CS4142,20/5/2012,100
CS2837,10/11/2012,88
CS1625,5/11/2013,104
CS4873,20/11/2012,83
CS3376,28/8/2012,39
CS4311,27/2/2012,35
CS1396,25/9/2012,86
CS3779,29/1/2014,92
CS1997,9/10/2012,87
CS4540,17/5/2012,72
CS5299,22/12/2012,90
CS2253,21/11/2012,99
CS6066,17/3/2014,102
CS6077,22/11/2012,44
CS3300,28/12/2014,86
CS5922,31/3/2012,95
CS6009,13/3/2014,39
CS5064,19/2/2013,97
CS2399,21/4/2014,77
CS5547,27/9/2012,73
CS5114,23/9/2012,96
CS3908,10/11/2011,83
CS4194,24/4/2013,92
CS5342,15/10/2012,82
CS5425,4/8/2012,90
CS1991,29/9/2014,94
CS2693,27/8/2013,61
CS5076,31/1/2015,63
CS3177,8/6/2011,87
CS2809,2/6/2012,60
CS3864,6/12/2013,56
CS2515,11/12/2011,51
CS4487,25/8/2011,100
CS3108,20/8/2011,87
CS1133,28/7/2014,91
CS5919,4/3/2012,97
CS6067,4/9/2012,44
CS4893,24/10/2013,66
CS5750,25/3/2014,48
CS1445,13/11/2011,88
CS1710,26/10/2011,52
CS1927,23/12/2013,97
CS5719,10/7/2011,40
CS2591,29/1/2014,69
CS2416,13/2/2013,59
CS1347,10/2/2013,74
CS3073,13/2/2015,95
CS3590,23/10/2013,104
CS4099,29/5/2014,67
CS4109,21/8/2012,40
CS6072,20/12/2011,82
CS3266,17/11/2012,51
CS1433,22/12/2014,72
CS5499,23/6/2011,59
CS1533,20/7/2012,85
CS5405,21/4/2012,91
CS4971,28/5/2013,83
CS5461,6/2/2012,47
CS6088,27/1/2013,82
CS1984,4/9/2012,53
CS1184,5/1/2013,102
CS4346,9/12/2012,65
CS5245,29/10/2014,104
CS5402,3/11/2011,84
CS2765,29/8/2011,61
CS5785,20/6/2013,63
CS5767,29/5/2013,82
CS2753,17/6/2012,63
CS2252,4/9/2012,68
CS5488,28/6/2012,53
CS5354,23/9/2014,83
CS1470,11/2/2012,95
CS1155,16/10/2011,75
CS5565,4/6/2014,36
CS6073,7/2/2015,104
CS2817,11/6/2014,43
CS3210,29/10/2011,57
CS4688,16/10/2012,59
CS4663,24/2/2013,95
CS4539,28/7/2012,35
CS2580,9/7/2012,42
CS3983,15/10/2012,103
CS2771,2/7/2012,67
CS3635,3/2/2015,38
CS1415,21/1/2012,73
CS2294,4/3/2015,94
CS1405,18/9/2013,43
CS1582,16/1/2014,85
CS2886,9/11/2013,38
CS2770,7/11/2014,80
CS1140,28/12/2014,61
CS2333,25/1/2014,93
CS4752,20/4/2013,95
CS5687,26/7/2011,89
CS4895,11/1/2014,80
CS2786,28/11/2011,66
CS1927,24/5/2012,63
CS4327,26/9/2014,36
CS1624,30/3/2013,68
CS5490,19/8/2014,36
CS4395,26/2/2012,66
CS3174,25/1/2013,61
CS2011,6/6/2013,85
CS5553,7/1/2015,98
CS3775,23/2/2012,92
CS2885,8/11/2012,55
CS1206,11/8/2014,90
CS4480,23/5/2012,60
CS1488,12/2/2015,65
CS1456,8/2/2013,95
CS4681,3/2/2014,96
CS3170,16/10/2012,85
CS1906,18/5/2014,60
CS5774,28/2/2015,78
CS6063,29/9/2011,77
CS2223,17/1/2014,41
CS1848,27/9/2011,48
CS2366,8/4/2014,39
CS5335,13/1/2014,45
CS2899,12/10/2012,55
CS4219,6/12/2013,59
CS5690,19/1/2015,82
CS3410,6/9/2014,97
CS1337,24/7/2014,103
CS4954,2/11/2012,82
CS4400,23/8/2011,67
CS3652,7/2/2015,64
CS5677,28/2/2013,93
CS4992,21/10/2012,83
CS3569,17/8/2014,61
CS2442,30/4/2014,59
CS4160,15/5/2012,66
CS5996,18/11/2011,69
CS2345,14/6/2011,60
CS2246,10/8/2011,44
CS2928,16/7/2013,67
CS1740,28/9/2014,102
CS2298,12/9/2011,105
CS5283,1/12/2012,63
CS6084,15/8/2013,64
CS3237,22/1/2013,40
CS4913,22/7/2014,53
CS2104,25/10/2014,81
CS4645,2/12/2013,104
CS1128,23/4/2014,105
CS4639,27/7/2012,39
CS4310,13/9/2011,83
CS3182,18/1/2013,48
CS3347,23/7/2012,38
CS4231,23/2/2015,89
CS4171,31/10/2014,53
CS3137,3/8/2013,92
CS1249,23/5/2012,55
CS3455,3/10/2011,98
CS1235,30/5/2012,56
CS4454,27/8/2013,57
CS3180,9/3/2014,65
CS2930,16/1/2014,94
CS3838,23/3/2012,82
CS1883,12/10/2014,57
CS5148,19/11/2012,72
CS4952,21/11/2011,54
CS5724,4/11/2011,85
CS1447,19/3/2012,104
CS1693,28/1/2012,59
CS4341,17/3/2014,87
CS3598,8/8/2012,72
CS5659,2/8/2012,100
CS5367,1/12/2014,41
CS1501,27/2/2013,65
CS2134,15/7/2014,77
CS3407,17/9/2014,62
CS3343,3/4/2014,56
CS3506,12/3/2013,103
CS2244,5/5/2013,86
CS1243,4/12/2012,70
CS3061,2/12/2013,89
CS4884,10/2/2015,78
CS1590,9/4/2014,39
CS3176,28/7/2014,50
CS5638,12/11/2014,68
CS2122,21/10/2012,83
CS2177,30/1/2015,93
CS3074,27/5/2011,61
CS3433,20/12/2012,99
CS3418,2/3/2013,87
CS5821,23/6/2012,70
CS2231,8/1/2015,74
CS5356,1/4/2014,91
CS5803,28/11/2014,96
CS5611,29/12/2014,65
CS5012,31/12/2011,85
CS4967,7/4/2013,98
CS2522,6/10/2014,85
CS2328,20/2/2015,43
CS3530,13/5/2013,88
CS5034,1/6/2014,39
CS5784,21/11/2011,75
CS3581,17/8/2011,93
CS3011,14/12/2014,83
CS4152,12/2/2013,41
CS5757,8/2/2014,56
CS5557,23/1/2012,82
CS3988,17/4/2012,51
CS3396,25/12/2011,87
CS4393,10/2/2015,54
CS4629,21/12/2012,35
CS3821,3/7/2013,73
CS3460,19/9/2011,77
CS4948,18/2/2013,84
CS3786,17/10/2011,71
CS5468,8/6/2012,50
CS1545,16/9/2014,55
CS4960,16/2/2014,77
CS3555,5/8/2013,103
CS4587,31/10/2012,104
CS1228,27/9/2011,57
CS5126,22/12/2012,49
CS1453,23/3/2014,45
CS5938,20/11/2012,61
CS3135,31/7/2012,49
CS4444,29/3/2013,102
CS5348,6/12/2014,64
CS1416,27/11/2012,100
CS5400,7/5/2014,75
CS2313,23/12/2012,59
CS5187,28/1/2012,42
CS3426,2/4/2013,87
CS2309,31/5/2011,60
CS4564,29/3/2013,94
CS3291,30/12/2012,93
CS2607,19/2/2013,50
CS1882,23/9/2014,104
CS2248,17/8/2011,100
CS4082,15/2/2015,49
CS3181,27/4/2014,62
CS2462,25/2/2012,88
CS2336,22/9/2013,86
CS3235,2/7/2012,43
CS2748,11/1/2012,55
CS3668,25/8/2012,86
CS1296,14/1/2014,61
CS5356,12/10/2012,57
CS4079,21/8/2012,68
CS4864,6/1/2014,73
CS2860,24/5/2013,74
CS4851,23/4/2013,94
CS5761,28/1/2015,102
CS6082,2/3/2012,48
CS3702,22/5/2011,45
CS1512,1/4/2013,54
CS4569,3/7/2014,76
CS2419,6/7/2014,95
CS3942,21/5/2013,64
CS4604,7/4/2012,38
CS6056,21/2/2013,98
CS2592,8/9/2013,73
CS5152,30/3/2014,53
CS4282,13/6/2011,46
CS4509,21/8/2012,93
CS2252,23/9/2014,95
CS3367,27/8/2013,98
CS4980,25/1/2012,64
CS3128,3/9/2011,91
CS3331,30/6/2013,99
CS4166,31/12/2012,104
CS5063,20/6/2012,56
CS5971,15/1/2014,94
CS5060,2/10/2013,38
CS5810,30/4/2013,48
CS2860,1/8/2011,78
CS4490,12/9/2014,37
CS5976,22/7/2012,47
CS4775,30/7/2012,86
CS4174,20/11/2012,51
CS5211,13/1/2015,85
CS3450,26/10/2012,80
CS3945,17/11/2012,80
CS2524,12/4/2012,55
CS3379,7/10/2014,101
CS4349,5/2/2012,87
CS2776,1/11/2012,70
CS1839,13/11/2013,77
CS1322,25/11/2013,84
CS3593,25/5/2012,81
CS1981,21/5/2011,71
CS4054,16/8/2011,99
CS4533,21/1/2015,53
CS2896,29/12/2011,80
CS5616,12/10/2013,37
CS3791,3/7/2014,49
CS1951,29/5/2011,73
CS2473,16/6/2013,81
CS5894,17/8/2013,68
CS1633,19/12/2012,62
CS1977,1/7/2013,38
CS6011,21/2/2014,55
CS6044,17/10/2013,36
CS4951,30/10/2013,90
CS2798,2/8/2011,69
CS2197,21/9/2012,70
CS3011,3/2/2014,65
CS1654,16/12/2014,85
CS2424,5/12/2013,101
CS3530,20/4/2014,40
CS1803,18/7/2013,80
CS4627,22/6/2014,50
CS5154,5/8/2012,78
CS3368,4/12/2012,38
CS2435,19/12/2013,86
CS4353,7/2/2015,75
CS5305,14/3/2012,86
CS3539,1/6/2013,64
CS2087,29/11/2012,52
CS5569,7/8/2011,56
CS5038,15/11/2014,75
CS4895,21/1/2013,43
CS2873,26/12/2011,87
CS5184,9/2/2013,51
CS1930,19/4/2013,76
CS4267,20/5/2012,38
CS5109,1/8/2014,91
CS5778,25/11/2012,65
CS3400,2/3/2012,97
CS2578,11/9/2013,47
CS3374,25/10/2011,49
CS1492,11/9/2011,101
CS4121,21/1/2013,50
CS5623,1/3/2015,100
CS5118,26/2/2012,65
CS3838,21/8/2014,42
CS3713,1/10/2013,50
CS3104,12/6/2011,51
CS4964,30/4/2012,86
CS5534,20/7/2014,40
CS4723,1/1/2014,88
CS3353,4/12/2014,94
CS3789,13/2/2014,102
CS4141,4/2/2014,88
CS1626,23/12/2012,38
CS2653,7/4/2012,81
CS5227,13/1/2014,49
CS4299,12/6/2013,36
CS4675,2/11/2011,85
CS1474,29/5/2012,37
CS4892,23/5/2012,60
CS3864,3/8/2014,78
CS4259,5/2/2012,55
CS4674,19/12/2014,75
CS4904,15/6/2014,60
CS1663,15/3/2012,53
CS4527,12/12/2012,99
CS3886,10/4/2012,85
CS6090,26/9/2012,93
CS5633,21/7/2011,54
CS1971,9/3/2013,39
CS2411,26/9/2013,71
CS2168,29/1/2015,65
CS5716,19/3/2012,100
CS3069,15/12/2011,62
CS4123,16/10/2012,60
CS4310,29/9/2014,61
CS1522,21/4/2013,90
CS6085,24/9/2013,65
CS1425,4/1/2015,83
CS1398,2/8/2014,56
CS3410,19/7/2011,69
CS5930,15/4/2014,35
CS3658,28/5/2012,37
CS1743,12/4/2014,73
CS5345,7/10/2014,84
CS4853,12/2/2014,45
CS4654,30/4/2014,83
CS4355,30/9/2014,77
CS1609,2/2/2012,45
CS3857,8/11/2013,53
CS4790,24/12/2013,103
CS3261,31/7/2012,72
CS5896,28/9/2012,78
CS4499,19/10/2012,46
CS2305,10/6/2011,71
CS4363,9/10/2014,102
CS5777,29/7/2011,97
CS4557,29/9/2012,93
CS5019,6/11/2012,67
CS4285,27/1/2015,38
CS5264,13/2/2013,79
CS3960,26/5/2012,48
CS2263,5/1/2013,96
CS2721,21/9/2013,88
CS3317,15/2/2014,41
CS4849,3/10/2011,73
CS2745,21/6/2012,84
CS3373,3/11/2012,88
CS2287,21/3/2013,59
CS5050,3/3/2015,38
CS3925,2/11/2011,35
CS2528,16/4/2013,102
CS2006,12/7/2011,100
CS1257,11/3/2013,89
CS5855,26/2/2015,63
CS3411,28/2/2015,48
CS5566,20/11/2011,79
CS5050,2/11/2013,97
CS3076,23/5/2014,69
CS2898,14/7/2012,62
CS4839,29/12/2011,57
CS5208,14/2/2015,49
CS2148,20/8/2013,97
CS1306,21/1/2012,72
CS4343,31/1/2012,59
CS2699,23/11/2013,64
CS6005,16/2/2013,52
CS2540,28/8/2014,87
CS2934,11/4/2013,77
CS1791,4/6/2014,78
CS5217,15/6/2012,42
CS2329,11/2/2014,67
CS4724,29/10/2012,97
CS1909,26/8/2012,39
CS3421,8/6/2012,41
CS6025,20/2/2014,77
CS4665,27/12/2013,68
CS3708,19/11/2013,77
CS3359,13/3/2013,39
CS5382,29/10/2011,46
CS4703,25/5/2011,53
CS1433,20/12/2014,99
CS3001,19/6/2011,100
CS4924,3/8/2014,56
CS4136,7/1/2014,79
CS4224,12/5/2013,80
CS1332,12/7/2012,59
CS2962,25/10/2014,71
CS1839,6/2/2014,52
CS6025,8/9/2011,88
CS1903,23/11/2012,91
CS3080,27/3/2013,65
CS2967,19/12/2012,97
CS4084,11/2/2015,53
CS3758,2/4/2014,55
CS2376,21/5/2014,58
CS6101,25/6/2011,71
CS4282,28/9/2013,58
CS3595,17/2/2013,81
CS5043,22/3/2014,85
CS3785,2/5/2012,95
CS5370,3/10/2014,61
CS2269,24/9/2014,53
CS2979,29/9/2011,98
CS3678,5/9/2012,78
CS2927,31/12/2012,84
CS4491,9/3/2014,57
CS1844,25/11/2011,97
CS3683,14/9/2013,38
CS5057,4/12/2013,90
CS2384,3/8/2013,69
CS3655,29/4/2012,91
CS3810,21/8/2013,71
CS5241,26/10/2012,83
CS3890,22/12/2011,47
CS3155,6/11/2012,68
CS3160,15/9/2011,78
CS4573,3/8/2012,37
CS1558,25/1/2012,86
CS2243,28/1/2012,92
CS2209,9/10/2012,67
CS5182,28/7/2012,86
CS6085,12/9/2014,87
CS4462,8/7/2012,70
CS2989,15/7/2012,58
CS1683,22/8/2013,82
CS4418,23/7/2012,79
CS3404,21/9/2014,84
CS3052,31/12/2011,92
CS2618,10/8/2014,90
CS5489,22/1/2012,104
CS1396,15/3/2013,53
CS2904,19/10/2012,46
CS3281,7/9/2013,53
CS4026,27/12/2014,91
CS3249,9/8/2012,35
CS2591,17/5/2012,83
CS5420,15/5/2014,43
CS5721,27/3/2013,97
CS5065,2/1/2014,79
CS1826,15/4/2013,95
CS4578,5/9/2013,98
CS1948,5/3/2013,94
CS3930,9/6/2013,41
CS6096,31/10/2011,103
CS3157,20/3/2012,100
CS2232,20/1/2013,97
CS2502,4/3/2014,91
CS1862,16/7/2014,60
CS4054,12/6/2013,80
CS5791,27/6/2012,36
CS5484,4/11/2012,54
CS1938,4/7/2013,53
CS4203,20/11/2012,79
CS5514,18/8/2012,70
CS1549,5/5/2012,88
CS4587,19/5/2013,46
CS1194,24/3/2014,52
CS2787,29/10/2011,45
CS1583,16/9/2013,84
CS2615,29/4/2013,98
CS3163,14/6/2012,40
CS3250,21/11/2011,72
CS2119,9/12/2014,104
CS5983,3/9/2014,38
CS5531,17/5/2011,58
CS1820,17/10/2013,94
CS5131,6/4/2013,91
CS2512,7/6/2014,88
CS2531,8/3/2014,46
CS5620,8/6/2013,55
CS2913,13/2/2012,55
CS4239,17/2/2012,77
